ADOPT,Adoption_1,Adoption_2,Adoption_3,AFFECT,Affect_1,Affect_2,Affect_3,Affect_4,Affect_5,Affect_6,AGE,AROUSAL,Arousal_1,Arousal_2,Arousal_3,Arousal_4,Arousal_5,Arousal_6,ATTITUDE,Attitude_1,Attitude_2,Attitude_3,Attitude_4,Browser,BrowserCode_Safari,BrowserCode_SafariIphone,BrowserVersion,Clicks_High,Clicks_Low,comm1,comm2,comm3,comm4,comm5,comm6,COMMENTBOX,COMMUNCATION,control1,control2,control3,control4,control5,CONTROL,COURSES,DOMINANCE,Dominance_1,Dominance_2,Dominance_3,Dominance_4,Dominance_5,Dominance_6,DURATION_BOOK,DURATION_SURVEY,EASE,Ease_1,Ease_2,Ease_3,Ease_4,education,efficacy1,efficacy2,efficacy3,EFFICACY,EndDate,FlashVersion,Hours_Dig,Hours_Int,Hours_Read,Income,INT_MANIP,INTLEVEL,involve1,involve2,involve3,involve4,INVOLVEMENT,IPAD,iPAD_D,IPAddress,Java,KINDLE,Kindle_D,know1,know2,Native,num_books,OperatingSystem,PERCINT,PLEASURE,Pleasure_1,Pleasure_2,Pleasure_3,Pleasure_4,Pleasure_5,Pleasure_6,PRIOR_KNOW,PU_PRINT,pup1,pup2,pup3,QualtricsID,RAttitude_1,RAttitude_2,RAttitude_3,RAttitude_4,READATTITUDE,Resolution,RISK,Risk_1,Risk_2,Risk_3,Risk_4,SEX,StartDate,StudyID,SurveyLength,SYNCH,Synchronic1,Synchronic2,Synchronic3,Synchronic4,Synchronic5,Think_Book,Think_Stud,TimeFirst_High,TimeFirst_Low,TimeLast_High,TimeLast_Low,TimeSubmit_High,TimeSubmit_Low,USEFUL,Usefulness_1,Usefulness_2,Usefulness_3,Usefulness_4,UserAgent,VIVID,Vividness_1,Vividness_2,Vividness_3,year_born,DigitalNative,INVOLVEMENT_Involvement_binned,PERCINT_Involvement_binned,READATTITUDE_Involvement_binned,RISK_Involvement_binned,INVOLVEMENT_bin,PERCINT_bin,READATTITUDE_bin,RISK_bin
4,4,4,4,1.83333333333333,1,2,3,2,2,1,26,4,4,4,4,4,4,4,4,4,4,4,4, ,0,0, ,3, ,4,4,4,4,4,4,2,4,4,4,3,4,4,3.8,10,3.66666666666667,4,4,4,4,4,2,49.093,.15333334,4,4,4,4,4,3,5,5,5,5,12/1/2011, ,0,0,0,6,4,1,2,4,2,3,2.75,0,0,71.38.242.93, ,0,0,1,1, ,0, ,-1.06322028977778,4,4,4,4,4,4,4,1,4,4,4,4,R_esLSKF5UedRkBrS,1,2,1,2,1.5, ,3,3,4,3,2,0,12/1/2011,200,0:09:12,4,4,4,4,4,4,0,no,4.759, ,53.852, ,53.852, ,4,4,4,4,4, ,3,4,3,2,1985, ,1,1,1,1,1,1,1,1
5,5,5,5,5,5,5,5,5,5,5,25,4.5,5,5,4,4,4,5,5,5,5,5,5, ,0,0, , ,2,5,4,4,5,4,4, ,4.4,5,5,3,5,5,4.6,80,4.66666666666667,5,4,5,5,4,5,180.787,.32305557,5.25,5,5,5,6,4,5,5,5,5,12/2/2011, ,5,72,5,1,5,0,4,5,4,5,4.5,0,0,98.154.41.133, ,0,0,3,4, ,1, ,-.340998067555556,4.5,4,4,5,5,4,5,3.5,5,5,5,5,R_5ANkow2upVZCsrG,5,5,5,5,5, ,3,3,3,3,3,0,12/2/2011,556,0:19:22,4.6,5,5,5,4,4,It's ok.  Seemed more like regular html, , ,6.118, ,186.902, ,186.905,5.5,6,6,5,5, ,5,5,5,5,1986, ,1,1,1,1,1,1,1,1
4,4,4,4,4,4,4,4,4,4,4,28,4,4,4,4,4,4,4,4,4,4,4,4,Safari,1,0,4,1, ,4,4,4,4,4,4,2,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,26.472,.25416666,4,4,4,4,4,3,7,7,7,7,12/5/2011,11.1.102,16,80,8,1,4,1,4,4,4,4,4,0,0,107.39.54.110,0,0,0,4,4, ,0,Android 2.3.3,-1.06322028977778,4,4,4,4,4,4,4,4,4,4,4,4,R_d1gJ2kxCvsXZK0A,4,4,4,4,4,800x1184,4,4,4,4,4,1,12/5/2011,287,0:15:15,4,4,4,4,4,4,It's ok but I'm not much of a reader.,No,5.53, ,5.53, ,32.002, ,4,4,4,4,4,"Mozilla/5.0 (Linux; U; Android 2.3.3; en-us; Sprint APA9292KT Build/GRI40) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1",4,4,4,4,1983, ,1,1,1,2,1,1,1,2
5,4,5,6,4,5,4,3,3,4,5,30,4.66666666666667,3,5,5,6,4,5,5,4,5,6,5,MSIE,0,0,9,2, ,4,5,2,5,4,4,3,4,4,5,3,4,3,3.8,0,4.33333333333333,4,5,6,4,3,4,32.839,.18277778,4,4,5,4,3,4,4,5,5,4.66666666666667,11/28/2011,10.3.183.10,1,1,1,1,4,1,4,5,5,3,4.25,0,0,75.97.52.24,1,2,0,5,4, ,0,Windows NT 6.1,-.785442512,4.5,4,5,6,3,4,5,4.5,4.33333333333333,4,5,4,R_cClKACWtsAH7EfG,4,5,6,5,5,960x600,4.5,4,5,5,4,0,11/28/2011,40,0:10:58,4.2,4,3,5,4,5,dontknow,dontknow,4.857, ,37.695, ,37.696, ,4.5,4,5,5,4,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; MDDC; .NET4.0C; AskTbORJ/5.13.1.18107),5,4,5,6,1981, ,1,1,1,2,1,1,1,2
5,5,5,5,1.33333333333333,2,1,2,1,1,1,25,3.33333333333333,4,3,3,3,3,4,4,4,4,4,4,Safari,1,0,5.1.1,2, ,2,2,5,4,4,4,2,3.4,6,6,6,6,5,5.8,20,5.33333333333333,6,4,6,4,6,6,126.205,.25333333,4,4,4,4,4,3,4,4,4,4,11/28/2011,10.1.102,5,30,6,1,5,1,2,4,4,4,3.5,0,0,65.73.133.205,1,0,0,2,2, ,5,Intel Mac OS X 10_6_8,-.729886956444445,2.66666666666667,3,3,3,3,3,1,2,5,5,5,5,R_8cZ1C2jRt08b7ww,4,4,4,4,4,1920x1080,4,4,4,4,4,1,11/28/2011,21,0:15:12,4,4,4,4,4,4,No specific thoughts.,It was a bit long for only .25 cents...,9.122, ,135.325, ,135.327, ,4,4,4,4,4,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.51.22 (KHTML, like Gecko) Version/5.1.1 Safari/534.51.22",4.66666666666667,4,4,6,1986, ,1,1,1,2,1,1,1,2
4,4,4,4,4.16666666666667,4,4,5,4,4,4,26,4,4,5,4,4,4,3,4.5,4,4,6,4,Firefox,0,0,6.0.2, ,2,4,4,4,4,4,4, ,4,4,4,4,4,4,4,6,4.33333333333333,4,5,4,4,4,5,319.962,.36805555,4.25,4,5,4,4,4,6,7,6,6.33333333333333,11/29/2011,11.1.102,1,40,1,1,4,0,4,4,4,4,4,0,0,129.7.156.123,1,0,0,2,2, ,0,rv:6.0.2,-.729886956444445,4.33333333333333,4,5,4,5,4,4,2,4,4,4,4,R_8eoEg6HSqXOdyqU,4,5,5,4,4.5,1280x1024,4.25,4,5,4,4,0,11/29/2011,444,0:22:04,4.6,5,5,5,5,3,ok,ok, ,4.226, ,324.182, ,324.188,4.25,4,4,5,4,Mozilla/5.0 (Windows NT 6.1; rv:6.0.2) Gecko/20100101 Firefox/6.0.2,4,4,4,4,1985, ,1,1,1,2,1,1,1,2
4.66666666666667,5,4,5,4.66666666666667,6,4,5,4,5,4,26,4.33333333333333,5,4,4,4,4,5,5,5,5,5,5,Firefox,0,0,5.0.1, ,2,4,3,5,4,5,4, ,4.2,5,5,5,4,4,4.6,3,4,4,4,4,4,4,4,23.301,.22194445,4.75,6,5,4,4,3,3,5,4,4,11/29/2011,11.0.1,5,24,12,4,6,0,4,4,4,4,4,0,0,72.51.187.210,1,0,0,1,4, ,100,rv:5.0.1,-.924331400888889,4,4,4,4,4,4,4,2.5,4,4,4,4,R_0voRhsMx9IQOdbm,7,7,7,7,7,1024x768,1,1,1,1,1,0,11/29/2011,397,0:13:19,4.4,4,4,4,4,6,it was very informative an the pictures were clear,very goo read., ,14.171, ,37.463, ,37.472,7,7,7,7,7,Mozilla/5.0 (Windows NT 6.1; rv:5.0.1) Gecko/20100101 Firefox/5.0.1,7,7,7,7,1985, ,1,1,2,1,1,1,2,1
3.66666666666667,3,4,4,5.83333333333333,6,5,6,6,6,6,29,4.66666666666667,6,6,4,4,4,4,5.25,5,5,5,6, ,0,0, , ,2,2,3,3,3,3,3, ,2.8,5,5,5,5,5,5,40,4.66666666666667,4,5,5,5,4,5,31.618,.24,5.75,5,6,6,6,4,6,5,5,5.33333333333333,11/29/2011, ,3,20,7,1,5,0,5,5,3,5,4.5,0,0,99.58.53.167, ,0,0,2,2, ,7, ,-.479886956444445,5.5,6,6,6,5,5,5,2,5.33333333333333,6,5,5,R_d5011vLbCxLFsgc,7,7,7,7,7, ,2.25,3,2,2,2,1,11/29/2011,439,0:14:24,5.4,4,6,6,6,5,I don't like the idea of reading off a screen. I want to hold my books in hand and turn the pages.,An interesting study. I think it would be important to get an idea of how people feel about e-books and such in general since this could influence their want to pay for an e-book or their thoughts on them in general., ,3.379, ,34.995, ,34.997,5.25,6,5,5,5, ,5,6,5,4,1982, ,1,1,2,1,1,1,2,1
7,7,7,7,5,6,4,5,5,5,5,29,3.5,4,3,4,4,5,1,7,7,7,7,7,Chrome,0,0,15.0.874.121, ,2,4,4,5,3,4,4, ,4,5,5,5,4,4,4.6,6,5,5,5,5,5,5,5,32.026,.27916667,6,6,6,6,6,3,5,5,5,5,11/28/2011,11.1.102,10,40,10,3,5,0,4,4,4,4,4,0,0,208.101.233.59,1,0,0,4,4, ,0,WOW64,-.590998067555556,6.66666666666667,7,7,7,7,6,6,4,5,5,5,5,R_7NCUtXJStQnowNm,7,7,7,7,7,1600x900,2,2,2,2,2,1,11/28/2011,335,0:16:44,5,5,5,5,5,5,it was great,none, ,4.491, ,36.515, ,36.517,5,5,5,5,5,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/15.0.874.121 Safari/535.2",5.33333333333333,5,5,6,1982, ,1,1,2,1,1,1,2,1
2.66666666666667,2,2,4,2.5,4,2,2,1,2,4,28,3.66666666666667,4,3,3,2,6,4,2,2,3,2,1,Safari,1,0,4, ,1,2,2,2,4,2,3, ,2.4,5,5,4,5,3,4.4,20,3.33333333333333,3,2,5,3,3,4,113.973,.3077778,5.25,5,6,5,5,3,2,7,5,4.66666666666667,12/5/2011,10.1.123,4,20,19,5,2,0,3,5,3,5,4,0,0,97.92.222.139,0,0,0,3,3, ,40,Android 2.2.1,-.924331400888889,3.66666666666667,4,3,3,4,3,5,3,6,6,6,6,R_3eqosHpYWHJC1BG,7,7,7,7,7,800x1075,2,2,2,2,2,1,12/5/2011,582,0:18:28,4.4,3,5,5,4,5,The content was inapproriate,No, ,3.654, ,3.654, ,117.627,3.75,2,2,6,5,"Mozilla/5.0 (Linux; U; Android 2.2.1; en-us; T-Mobile_Espresso Build/FRG83D) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1",2,2,3,1,1983, ,1,1,2,1,1,1,2,1
